"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";"PROD_ID";"TP_SIGNAL_NAME";
"49";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED44, LED45, LED46, LED47, LED48, LED49, LED50";"LED";"";"";"";
"7";"";"PNP-TRANSISTOR_SOT23";"SOT23";"Q1, Q2, Q3, Q4, Q5, Q6, Q7";"PNP TRANSISTOR";"";"";"";
"1";"";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";"";"";
"1";"100K";"R-EU_R0402";"R0402";"R5";"RESISTOR, European symbol";"";"";"";
"1";"100K";"R-EU_R0402";"R0402";"R15";"RESISTOR, European symbol";"P100KJCT-ND";"";"";
"1";"100K";"R-EU_R0402";"R0402";"R9";"RESISTOR, European symbol";"P510KJCT-ND";"";"";
"3";"100n";"C-EUC0402";"C0402";"C1, C5, C10";"CAPACITOR, European symbol";"445-3445-1-ND";"";"";
"1";"10K";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"";"";
"1";"10n";"C-EUC0402";"C0402";"C11";"CAPACITOR, European symbol";"445-1260-1-ND";"";"";
"1";"16Mhz";"RESONATORSMD";"RESONATOR-SMD";"Y2";"Resonator";"*";"";"";
"1";"1K";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";
"1";"1u";"CPOL-EUSMCA";"SMC_A";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";
"2";"22";"R-EU_R0402";"R0402";"R12, R13";"RESISTOR, European symbol";"";"";"";
"2";"220";"R-EU_R0402";"R0402";"R14, R16";"RESISTOR, European symbol";"";"";"";
"1";"220n";"C-EUC0402";"C0402";"C3";"CAPACITOR, European symbol";"445-3445-1-ND";"";"";
"1";"2K";"R-EU_R0402";"R0402";"R10";"RESISTOR, European symbol";"";"";"";
"2";"330";"R-EU_R0402";"R0402";"R3, R4";"RESISTOR, European symbol";"";"";"";
"1";"436331045822";"436331045822";"436331045822";"SW1";"WS-TUS-3.5x4.7 mm side push SMD Tact Switch with boss design, 4 pins";"";"";"";
"5";"4u7";"CPOL-EUSMCA";"SMC_A";"C2, C7, C8, C9, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";
"1";"ATMEGA32U4TQFP-44";"ATMEGA32U4TQFP-44";"TQFP44";"IC5";"Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller";"";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$1, U$2, U$3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";
"1";"GRN";"LEDCHIP-LED0603";"CHIP-LED0603";"RX";"LED";"";"";"";
"1";"GRN";"LEDSML0805";"SML0805";"LED51";"LED";"";"";"";
"1";"HM-11_HM-11";"HM-11_HM-11";"HM-11_HM-11";"HM11";"";"";"";"";
"1";"HMC5883LSMD";"HMC5883LSMD";"16LPCC";"IC1";"3 Axis Digital Compass IC";"";"IC-10284";"";
"1";"LTC2950CDDB-1";"LTC2950-1DFN(3X2)";"DDB-8";"IC6";"LTC2950-1  Push button ON/OFF Controler  LINEAR TECHNOLOGY";"LTC2950IDDB-1#TRMPBFCT-ND";"";"";
"1";"MCP1824-3.3V (fixed)";"V_REG_LDOSMD";"SOT23-5";"U1";"Voltage Regulator LDO";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5";"U2";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"IC-09995";"";
"1";"MICRO-USB-SMD(ZX62-B-5PA)";"MICRO-USB-SMD(ZX62-B-5PA)";"MICRO-USB5+6P-SMD-0.65-AB";"J1";"320010005";"";"";"";
"8";"PTR1TP20SQ";"PTR1TP20SQ";"TP20SQ";"BAT+, BAT-, TP_GND, TP_MISO, TP_MOSI, TP_RST, TP_SCK, TP_VCC";"TEST PIN";"";"";"";
"1";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"TX";"LED";"";"";"";
"1";"RED";"LEDSML0805";"SML0805";"LED43";"LED";"";"";"";
"1";"STP16CP05";"STP16CP05";"TSSOP24";"IC2";"";"";"";"";
